Field, Description
"amount", "Amount of :ref:`DecentralCoins <02_intermediate:DecentralCoin>` to lease."
"recipient", "Recipient address base58 encoded or recipient alias."
"status", "Lease status: 1) active: lease is active. 2) canceled: lease is cancelled, see :ref:`lease cancel transaction <02_intermediate:Lease Cancel Transaction>`."
