#, Field name, Type, Length in Bytes
":math:`1`", "Packet length (BigEndian)", "Int", ":math:`4`"
":math:`2`", "Magic Bytes", "Bytes", ":math:`4`"
":math:`3`", "Content ID (0x15)", "Byte", ":math:`1`"
":math:`4`", "Payload length", "Int", ":math:`4`"
":math:`5`", "Payload checksum", "Bytes", ":math:`4`"
":math:`6`", "Block signatures count (N)", "Int", ":math:`4`"
":math:`7`", "Block #1 signature", "Bytes", ":math:`64`"
"...", "...", "...", "..."
":math:`6 + N`", "Block #N signature", "Bytes", ":math:`64`"
