Field, Description
"assetId", "Token ID base58 encoded. null means :ref:`DecentralCoins <02_decentralchain/02_token(asset):DecentralCoin>`."
"attachment", "Arbitrary binary data (typically a comment to transfer) base58 encoded, up to :math:`140` bytes."
"transfers.recipient", "Recipient address base58 encoded or recipient alias with alias:<chain_id>: prefix, for example alias:T:merry (See :ref:`Chain ID <02_decentralchain/08_mainnet-testnet-stagenet:Chain ID>`)."
"transfers.amount", "Amount of token to transfer: an integer value specified in the minimum fraction (“cents”) of token."
"transferCount", "Number of recipients."
"totalAmount", "Total amount of transfers in transaction."
