Field, Size, Description
"recipient.public_key_hash", ":math:`20` bytes", "Recipient's account public key hash (a component of an :ref:`address <02_decentralchain/01_account:Address>`, see the :ref:`address binary format <02_decentralchain/10_binary-format:Address Binary Format>` article)."
"recipient.alias", "From :math:`4` to :math:`30` bytes", "Recipient's :ref:`alias <02_decentralchain/01_account:Alias>`."
"amount", ":math:`8` bytes", "Amount of :ref:`DecentralCoins <02_decentralchain/02_token(asset):DecentralCoin>` to lease (that is, amount of Decentralites multiplied by :math:`10^{8}`)."
