Name, Description, Complexity
":ref:`drop(ByteVector, Int): ByteVector <03_advanced:drop(ByteVector, Int): ByteVector>`", "Returns the byte array without the first N bytes", ":math:`6`"
":ref:`dropRight(ByteVector, Int): ByteVector <03_advanced:dropRight(ByteVector, Int): ByteVector>`", "Returns the byte array without the last N bytes", ":math:`6`"
":ref:`size(ByteVector): Int <03_advanced:size(ByteVector): Int>`", "Returns the number of bytes in the byte array", ":math:`1`"
":ref:`take(ByteVector, Int): ByteVector <03_advanced:take(ByteVector, Int): ByteVector>`", "Returns the first N bytes of the byte array", ":math:`6`"
":ref:`takeRight(ByteVector, Int): ByteVector <03_advanced:takeRight(ByteVector, Int): ByteVector>`", "Returns the last N bytes of the byte array", ":math:`6`"
