Parameter, Description
"bin: :ref:`ByteVector <03_advanced:ByteVector>`", "Array of bytes to convert."
"offset: :ref:`Int <03_advanced:Int>`", "Index to start from."
"size: :ref:`Int <03_advanced:Int>`", "Number of bytes (subarray length) to convert."
