#, Name, Data type, Description
":math:`1`", "data", ":ref:`List <03_advanced:List>` [:ref:`BinaryEntry <03_advanced:BinaryEntry>` | :ref:`BooleanEntry <03_advanced:BooleanEntry>` | :ref:`DeleteEntry <03_advanced:DeleteEntry>` | :ref:`IntegerEntry <03_advanced:IntegerEntry>` | :ref:`StringEntry <03_advanced:StringEntry>`]", "Transaction's data array."
":math:`2`", "id", ":ref:`ByteVector <03_advanced:ByteVector>`", "Transaction ID."
":math:`3`", "fee", ":ref:`Int <03_advanced:Int>`", ":ref:`Transaction fee <02_intermediate:Transaction Fees>`."
":math:`4`", "timestamp", ":ref:`Int <03_advanced:Int>`", "Transaction timestamp."
":math:`5`", "version", ":ref:`Int <03_advanced:Int>`", "Transaction version."
":math:`6`", "sender", ":ref:`Address <03_advanced:Address>`", ":ref:`Address <02_intermediate:Address>` of a transaction sender."
":math:`7`", "senderPublicKey", ":ref:`ByteVector <03_advanced:ByteVector>`", "Account public key of a sender."
":math:`8`", "bodyBytes", ":ref:`ByteVector <03_advanced:ByteVector>`", "Transaction body bytes."
":math:`9`", "proofs", ":ref:`List <03_advanced:List>` [:ref:`ByteVector <03_advanced:ByteVector>`]", "Array of proofs."
