Name, Description, Complexity
":ref:`addressFromString(String): Address|Unit <03_advanced:addressFromString(String): Address|Unit>`", "Decodes address from base58 string", ":math:`1`"
":ref:`addressFromStringValue(String): Address <03_advanced:addressFromStringValue(String): Address>`", "Decodes address from base58 string. Fails if the address cannot be decoded", ":math:`1`"
":ref:`fromBase16String(String): ByteVector <03_advanced:fromBase16String(String): ByteVector>`", "Decodes base16 string to an array of bytes", ":math:`10`"
":ref:`fromBase58String(String): ByteVector <03_advanced:fromBase58String(String): ByteVector>`", "Decodes base58 string to an array of bytes", ":math:`1`"
":ref:`fromBase64String(String): ByteVector <03_advanced:fromBase64String(String): ByteVector>`", "Decodes base64 string to an array of bytes", ":math:`40`"
