Field, Description
"assetId", "Token ID base58 encoded. null means :ref:`DecentralCoins <02_intermediate:DecentralCoin>`."
"attachment", "Arbitrary binary data (typically a comment to transfer) base58 encoded, up to :math:`140` bytes."
"transfers.recipient", "Recipient address base58 encoded or recipient alias with alias:<chain_id>: prefix, for example alias:T:merry (See :ref:`Chain ID <02_intermediate:Chain ID>`)."
"transfers.amount", "Amount of token to transfer: an integer value specified in the minimum fraction (“cents”) of token."
"transferCount", "Number of recipients."
"totalAmount", "Total amount of transfers in transaction."
