Field, Size, Description
"asset_amount.amount", ":math:`8` bytes", "Amount of token to burn, specified in the minimum fraction (“cents”)."
"asset_amount.asset_id", ":math:`32` bytes", ":ref:`ID <02_intermediate:Token ID>` of token to burn."
