Field, Size, Description
"asset_id", ":math:`32` bytes", "ID of token to transfer."
"transfers.recipient.public_key_hash", ":math:`20` bytes", "Recipient's account public key hash (a component of an address, see the :ref:`address binary format <02_intermediate:Address Binary Format>` article)."
"transfers.recipient.alias", "From :math:`4` to :math:`30` bytes", "Recipient's :ref:`alias <02_intermediate:Alias>`."
"transfers.amount", ":math:`8` bytes", "Amount of token to transfer, specified in the minimum fraction (“cents”)."
"attachment", "Up to :math:`140` bytes", "Arbitrary data (typically a comment to transfer)."
