#, Name, Data type, Description
":math:`1`", "assetId", ":ref:`ByteVector <03_ride-language:ByteVector>`", ":ref:`ID of the token <02_decentralchain:Token ID>` to burn."
":math:`2`", "quantity", ":ref:`Int <03_ride-language:Int>`", "Amount of the token."
