Parameter,Description
"a: :ref:`BigInt <03_ride-language/02_data-types:BigInt>`", "Big integer a"
"b: :ref:`BigInt <03_ride-language/02_data-types:BigInt>`", "Big integer b"
"c: :ref:`BigInt <03_ride-language/02_data-types:BigInt>`", "Big integer c"
