Transaction type ID, Name, Description
":math:`8`", ":ref:`LeaseTransaction <03_ride-language:LeaseTransaction>`", "Structure of :ref:`lease transaction <02_decentralchain:Lease Transaction>`."
":math:`9`", ":ref:`LeaseCancelTransaction <03_ride-language:LeaseCancelTransaction>`", "Structure of :ref:`lease cancel transaction <02_decentralchain:Lease Cancel Transaction>`."
":math:`14`", ":ref:`SponsorFeeTransaction <03_ride-language:SponsorFeeTransaction>`", "Structure of :ref:`sponsor fee transaction <02_decentralchain:Sponsor Fee Transaction>`."
