Name, Max data size, Complexity
keccak256(bytes: ByteVector): ByteVector", ":math:`150` kB", ":math:`200`"
keccak256_16Kb(bytes: ByteVector): ByteVector", ":math:`16` kB", ":math:`10`"
keccak256_32Kb(bytes: ByteVector): ByteVector", ":math:`32` kB", ":math:`25`"
keccak256_64Kb(bytes: ByteVector): ByteVector", ":math:`64` kB", ":math:`50`"
keccak256_128Kb(bytes: ByteVector): ByteVector", ":math:`128` kB", ":math:`100`"
