#, Name, Data type, Description
":math:`1`", "recipient", ":ref:`address <03_ride-language/05_structures:Address>` | :ref:`Alias <03_ride-language/05_structures:Alias>`", "Lessee :ref:`address <02_decentralchain/01_account:Address>` or :ref:`alias <02_decentralchain/01_account:Alias>`."
":math:`2`", "amount", ":ref:`Int <03_ride-language/02_data-types:Int>`", "Amount of :ref:`DecentralCoins <02_decentralchain/02_token(asset):DecentralCoin>` to lease (that is, amount of Decentralites multiplied by :math:`10^{8}`)."
":math:`7`", "nonce", ":ref:`Int <03_ride-language/02_data-types:Int>`", "Nonce that is used for lease ID generation. If the callable function creates several leases with the same parameters, you should use different nonces."
