#, Name, Data type, Description
":math:`1`", "leaseId", ":ref:`ByteVector <03_ride-language:ByteVector>`", "Leasing ID."
":math:`2`", "id", ":ref:`ByteVector <03_ride-language:ByteVector>`", "Transaction ID."
":math:`3`", "fee", ":ref:`Int <03_ride-language:Int>`", ":ref:`Transaction fee <02_decentralchain:Transaction Fees>`."
":math:`4`", "timestamp", ":ref:`Int <03_ride-language:Int>`", "Transaction timestamp."
":math:`5`", "version", ":ref:`Int <03_ride-language:Int>`", "Transaction version."
":math:`6`", "sender", ":ref:`Address <03_ride-language:Address>`", ":ref:`Address <02_decentralchain:Address>` of the transaction sender."
":math:`7`", "senderPublicKey", ":ref:`ByteVector <03_ride-language:ByteVector>`", "Public key of the transaction sender."
":math:`8`", "bodyBytes", ":ref:`ByteVector <03_ride-language:ByteVector>`", "Transaction body bytes."
":math:`9`", "proofs", ":ref:`List <03_ride-language:List>` [:ref:`ByteVector <03_ride-language:ByteVector>`]", "Proofs."
