#, Name, Data type, Description
":math:`1`", "data", ":ref:`List <03_ride-language/02_data-types:List>` [:ref:`BinaryEntry <03_ride-language/05_structures:BinaryEntry>` | :ref:`BooleanEntry <03_ride-language/05_structures:BooleanEntry>` | :ref:`DeleteEntry <03_ride-language/05_structures:DeleteEntry>` | :ref:`IntegerEntry <03_ride-language/05_structures:IntegerEntry>` | :ref:`StringEntry <03_ride-language/05_structures:StringEntry>`]", "Transaction's data array."
":math:`2`", "id", ":ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`", "Transaction ID."
":math:`3`", "fee", ":ref:`Int <03_ride-language/02_data-types:Int>`", ":ref:`Transaction fee <02_decentralchain/03_transaction:Transaction Fees>`."
":math:`4`", "timestamp", ":ref:`Int <03_ride-language/02_data-types:Int>`", "Transaction timestamp."
":math:`5`", "version", ":ref:`Int <03_ride-language/02_data-types:Int>`", "Transaction version."
":math:`6`", "sender", ":ref:`address <03_ride-language/05_structures:Address>`", ":ref:`address <02_decentralchain/01_account:Address>` of a transaction sender."
":math:`7`", "senderPublicKey", ":ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`", "Account public key of a sender."
":math:`8`", "bodyBytes", ":ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`", "Transaction body bytes."
":math:`9`", "proofs", ":ref:`List <03_ride-language/02_data-types:List>` [:ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`]", "Array of proofs."
