Parameter, Description
"bin: :ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`", "Array of bytes to convert."
"offset: :ref:`Int <03_ride-language/02_data-types:Int>`", "Index to start from."
"size: :ref:`Int <03_ride-language/02_data-types:Int>`", "Number of bytes (subarray length) to convert."
