#, Name, Data type, Description
":math:`1`", "recipient", ":ref:`Address <03_ride-language:Address>` | :ref:`Alias <03_ride-language:Alias>`", ":ref:`Address <02_decentralchain:Address>` or the :ref:`alias <02_decentralchain:Alias>` of a recipient of tokens."
":math:`2`", "amount", ":ref:`Int <03_ride-language:Int>`", "Number of tokens."
":math:`3`", "asset", ":ref:`ByteVector <03_ride-language:ByteVector>` | :ref:`Unit <03_ride-language:Unit>`", ":ref:`ID of the token <02_decentralchain:Token ID>`."
