Parameter, Description
"addressOrAlias: :ref:`Address <03_ride-language/05_structures:Address>` | :ref:`Alias <03_ride-language/05_structures:Alias>`", ":ref:`address <02_decentralchain/01_account:Address>` or :ref:`alias <02_decentralchain/01_account:Alias>` of the account."
"assetId: :ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`", ":ref:`token ID <02_decentralchain/02_token(asset):Token ID>`"
