Parameter, Description
"addressOrAlias: :ref:`Address <03_ride-language:Address>` | :ref:`Alias <03_ride-language:Alias>`", ":ref:`Address <02_decentralchain:Address>` or :ref:`alias <02_decentralchain:Alias>` of the account."
"key: :ref:`String <03_ride-language:String>`", "Entry key."
