Parameter,Description
"a: :ref:`Int <03_ride-language/02_data-types:Int>`", "Integer a"
"b: :ref:`Int <03_ride-language/02_data-types:Int>`", "Integer b"
"c: :ref:`Int <03_ride-language/02_data-types:Int>`", "Integer c"
