Transaction type ID, Name, Description
":math:`4`", ":ref:`TransferTransaction <03_ride-language/05_structures:TransferTransaction>`", "Structure of :ref:`transfer transaction <02_decentralchain/03_transaction:Transfer Transaction>`."
":math:`7`", ":ref:`ExchangeTransaction <03_ride-language/05_structures:ExchangeTransaction>`", "Structure of :ref:`exchange transaction <02_decentralchain/03_transaction:Exchange Transaction>`."
":math:`10`", ":ref:`CreateAliasTransaction <03_ride-language/05_structures:CreateAliasTransaction>`", "Structure of :ref:`create alias transaction <02_decentralchain/03_transaction:Create Alias Transaction>`."
":math:`11`", ":ref:`MassTransferTransaction <03_ride-language/05_structures:MassTransferTransaction>`", "Structure of :ref:`mass transfer transaction <02_decentralchain/03_transaction:Mass Transfer Transaction>`."
":math:`12`", ":ref:`DataTransaction <03_ride-language/05_structures:DataTransaction>`", "Structure of :ref:`data transaction <02_decentralchain/03_transaction:Data Transaction>`."
":math:`13`", ":ref:`SetScriptTransaction <03_ride-language/05_structures:SetScriptTransaction>`", "Structure of :ref:`set script transaction <02_decentralchain/03_transaction:Set Script Transaction>`."
":math:`16`", ":ref:`InvokeScriptTransaction <03_ride-language/05_structures:InvokeScriptTransaction>`", "Structure of :ref:`invoke script transaction <02_decentralchain/03_transaction:Invoke Script Transaction>`."
