Parameter, Description
"vk: :ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`", "Key for the check. Maximum size: 1) For groth16Verify_<N>inputs function — :math:`384 + 48 × N` bytes. 2) For groth16Verify function — :math:`384 + 48 × 16 = 1152` bytes."
"proof: :ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`", "Zero-knowledge proof. Fixed size: :math:`192` bytes."
"inputs: :ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`", "Zero-knowledge proof's public inputs array. For example, array of UTXO hashes in case of shielded transactions. Maximum size: 1) For groth16Verify_<N>inputs function – :math:`32 × N` bytes. 2) For groth16Verify function – :math:`512` bytes."
