#, Name, Data type, Description
":math:`1`", "assetId", ":ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`", ":ref:`ID of the token <02_decentralchain/02_token(asset):Token ID>` to burn."
":math:`2`", "quantity", ":ref:`Int <03_ride-language/02_data-types:Int>`", "Amount of the token."
