Field, Description
"assetId", "Token ID base58 encoded."
"chainId", ":ref:`Chain ID <02_decentralchain/08_mainnet-testnet-stagenet:Chain ID>`"
"script", "Compiled asset script, up to :math:`8192` bytes, base64 encoded."
