Name, Description, Complexity
":ref:`invoke(Address|Alias, String, List[Any], List[AttachedPayments]): Any <03_ride-language/03_functions:invoke(Address|Alias, String, List[Any], List[AttachedPayments]): Any>`", "Invokes a dApp callable function, with :ref:`reentrancy restriction <03_ride-language/03_functions:dApp-to-dApp Invocation Functions>`", ":math:`75`"
":ref:`reentrantInvoke(Address|Alias, String, List[Any], List[AttachedPayments]): Any <03_ride-language/03_functions:reentrantInvoke(Address|Alias, String, List[Any], List[AttachedPayments]): Any>`", "Invokes a dApp callable function, without reentrancy restriction", ":math:`75`"
