#, Name, Data type, Description
":math:`1`", "script", ":ref:`ByteVector <03_advanced:ByteVector>` | :ref:`Unit <03_advanced:Unit>`", ":ref:`Account script <03_advanced:Account Script>` or :ref:`dApp script <03_advanced:dApp Script>`."
":math:`2`", "id", ":ref:`ByteVector <03_advanced:ByteVector>`", "Transaction ID."
":math:`3`", "fee", ":ref:`Int <03_advanced:Int>`", ":ref:`Transaction fee <02_intermediate:Transaction Fees>`."
":math:`4`", "timestamp", ":ref:`Int <03_advanced:Int>`", "Transaction timestamp."
":math:`5`", "version", ":ref:`Int <03_advanced:Int>`", "Transaction version."
":math:`6`", "sender", ":ref:`Address <03_advanced:Address>`", ":ref:`Address <02_intermediate:Address>` of the transaction sender."
":math:`7`", "senderPublicKey", ":ref:`ByteVector <03_advanced:ByteVector>`", "Public key of the transaction sender."
":math:`8`", "bodyBytes", ":ref:`ByteVector <03_advanced:ByteVector>`", "Transaction body bytes."
":math:`9`", "proofs", ":ref:`List <03_advanced:List>` [:ref:`ByteVector <03_advanced:ByteVector>`]", "Proofs."
