Parameter, Description
"vk: :ref:`ByteVector <03_advanced:ByteVector>`", "Key for the check. Maximum size: 1) For bn256groth16Verify_<N>inputs function — :math:`256 + 32 × N` bytes. 2) For bn256groth16Verify function — :math:`256 + 32 × 16 = 768` bytes."
"proof: :ref:`ByteVector <03_advanced:ByteVector>`", "Zero-knowledge proof. Fixed size: :math:`128` bytes."
"inputs: :ref:`ByteVector <03_advanced:ByteVector>`", "Zero-knowledge proof's public inputs array. For example, array of UTXO hashes in case of shielded transactions. Maximum size: 1) For bn256groth16Verify_<N>inputs function – :math:`32 × N` bytes. 2) For bn256groth16Verify function – :math:`512` bytes."
