Parameter, Description
"message: :ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`", "Signed data. Maximum size: 1)  For sigVerify_<N>Kb functions — :math:`N` bytes. 2) For sigVerify function — :math:`150` bytes."
"sig: :ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`", "Digital signature. Fixed size: :math:`25` bytes."
"pub: :ref:`ByteVector <03_ride-language/02_data-types:ByteVector>`", "Binary public key. Fixed size: :math:`294` bytes."
