#, Name, Data type, Description
":math:`1`", "recipient", ":ref:`Address <03_advanced:Address>` | :ref:`Alias <03_advanced:Alias>`", ":ref:`Address <02_intermediate:Address>` of a recipient of tokens."
":math:`2`", "amount", ":ref:`Int <03_advanced:Int>`", "Number of tokens."
